"ACS Profile Report, 2013-2017: Demographic",,,,"ACS Profile Report, 2013-2017: Economic",,,,"ACS Profile Report, 2013-2017: Social",,,,"ACS Profile Report, 2013-2017: Housing",,,
ZCTA5 78733 (86000US78733),,,,ZCTA5 78733 (86000US78733),,,,ZCTA5 78733 (86000US78733),,,,ZCTA5 78733 (86000US78733),,,
,,,,,,,,,,,,,,,
Subject,ZCTA5 78733,,,Subject,ZCTA5 78733,,,Subject,ZCTA5 78733,,,Subject,ZCTA5 78733,,
,Number,MOE,Pct,,Number,MOE,Pct,,Number,MOE,Pct,,Number,MOE,Pct
D1. AGE,,,,E1. HOUSEHOLD INCOME AND BENEFITS,,,,S1. HOUSEHOLDS BY TYPE,,,,H1. HOUSING OCCUPANCY AND TENURE,,,
Universe: Total population,,,,Universe: Total households,,,,Universe: Total households,,,,Universe: Housing units,,,
Total population,8754,+/- 581,,Total households,2920,+/- 173,,Total households,2920,+/- 173,,Total housing units,3033,+/- 171,
  Under 5 years,686,+/- 177,7.8,"  Less than $10,000",49,+/- 32,1.7,  Family households,2366,+/- 190,81,  Occupied housing units,2920,+/- 173,96.3
  5 to 9 years,798,+/- 148,9.1,"  $10,000 to $14,999",68,+/- 58,2.3,    With own children under 18 years,1412,+/- 159,48.4,    Owner-occupied,2645,+/- 178,90.6
  10 to 14 years,757,+/- 124,8.6,"  $15,000 to $24,999",88,+/- 66,3,    Married-couple families,2065,+/- 176,70.7,    Renter-occupied,275,+/- 95,9.4
  15 to 19 years,681,+/- 137,7.8,"  $25,000 to $34,999",150,+/- 76,5.1,      With own children under 18 years,1226,+/- 135,42,    Average household size of owner-occupied unit,2.97,+/- 0.3,
  20 to 24 years,162,+/- 66,1.9,"  $35,000 to $49,999",189,+/- 86,6.5,"    Male householder, no wife present",80,+/- 46,2.7,    Average household size of renter-occupied unit,3.25,+/- 1.56,
  25 to 34 years,576,+/- 131,6.6,"  $50,000 to $74,999",233,+/- 80,8,      With own children under 18 years,38,+/- 35,1.3,  Vacant housing units,113,+/- 82,3.7
  35 to 44 years,1382,+/- 226,15.8,"  $75,000 to $99,999",176,+/- 67,6,"    Female householder, no husband present",221,+/- 91,7.6,    For sale,49,+/- 58,43.4
  45 to 54 years,1652,+/- 210,18.9,"  $100,000 to $149,999",590,+/- 153,20.2,      With own children under 18 years,148,+/- 76,5.1,    For rent,33,+/- 40,29.2
  55 to 59 years,666,+/- 144,7.6,"  $150,000 to $199,999",252,+/- 85,8.6,  Nonfamily households,554,+/- 140,19,"    For seasonal, recreational, or occasional use",-,,
  60 to 64 years,657,+/- 138,7.5,"  $200,000 or more",1125,+/- 144,38.5,    Householder living alone,449,+/- 325,81,Total owner units,2694,+/- 187,
  65 to 74 years,505,+/- 126,5.8,  With earnings,2611,+/- 169,89.4,      65 years and over living alone,146,+/- 113,26.4,Homeowner vacancy rate,1.8,+/- 2,
  75 to 84 years,185,+/- 76,2.1,  With social security,497,+/- 103,17,  Households with one or more people under 18 years,1452,+/- 156,49.7,Total rental units,308,+/- 103,
  85 years and over,47,+/- 41,0.5,  With retirement income,320,+/- 95,11,  Households with one or more people 65 years and over,548,+/- 116,18.8,Rental vacancy rate,10.7,+/- 2,
Median age in years,40.6,+/- 0.9,,  With supplemental security income,38,+/- 31,1.3,Average household size,3,+/- 0.09,,People living in owned homes,7861,+/- 601,89.8
  5 years and over,-,,,  With cash public assistance income,42,+/- 33,1.4,Average family size,3.35,+/- 0.09,,People living in rental homes,893,+/- 298,10.2
  15 years and over,6513,+/- 429,74.4,  With food stamp benefits in the past 12 months,65,+/- 42,2.2,S2. PERSONS BY HOUSEHOLD TYPE / GROUP QUARTERS,,,,H2. UNITS IN STRUCTURE,,,
  Under 18 years of age,2753,+/- 286,31.4,Median household income,136563,+/- 13696,,Universe: Total population,,,,Universe: Housing units,,,
  18 years and over,6001,+/- 431,68.6,Mean household income,214080,+/- 26030,,Total population,8754,+/- 581,,Total housing units,3033,+/- 171,
  21 years and over,5802,+/- 423,66.3,Mean household earnings,212367,+/- 28149,,  Household population,8754,+/- 581,100,  Single-family units,2906,+/- 177,95.8
  25 years and over,5670,+/- 419,64.8,Mean household social security income,19831,+/- 2940,,    Living in family households,8055,+/- 627,92,"    Single unit, detached",2862,+/- 175,98.5
  62 years and over,1048,+/- 175,12,Mean household retirement income,35142,+/- 9147,,    Living in nonfamily households,699,+/- 214,8,"    Single unit, attached",44,+/- 27,1.5
  65 years and over,737,+/- 156,8.4,Mean household supplemental security income,7216,+/- 2557,,      Living alone,449,+/- 325,81,  Duplexes,8,+/- 13,0.3
D2. AGE AND SEX,,,,Mean household cash public assistance income,4562,+/- 2447,,  Living in group quarters,-,,,  3 or 4 units,-,,
Universe: Total population,,,,E2. FAMILY INCOME AND BENEFITS,,,,S3. RELATIONSHIP,,,,  5 to 9 units,-,,
Total population,8754,+/- 581,,Universe: Family households,,,,Universe: Household population,,,,  10 to 19 units,-,,
  Male,4225,+/- 334,48.3,Family households,2366,+/- 190,81,Household population,8754,+/- 581,100,  20 or more units,-,,
    18 years old and over,2830,+/- 220,67,"  Less than $10,000",20,+/- 22,0.8,  Householder,2920,+/- 236,33.4,  Mobile home,119,+/- 69,3.9
    65 years old and over,349,+/- 98,8.3,"  $10,000 to $14,999",9,+/- 15,0.4,  Spouse,2062,+/- 182,23.6,"  Boat, RV, van, etc.",-,,
  Female,4529,+/- 361,51.7,"  $15,000 to $24,999",8,+/- 23,0.3,  Child,3239,+/- 302,37,  Mobile homes per 1000 HUs,39,+/- 20,
    18 years old and over,3171,+/- 248,70,"  $25,000 to $34,999",89,+/- 47,3.8,  Other relatives,260,+/- 100,3,H3. YEAR STRUCTURE BUILT,,,
    65 years old and over,388,+/- 117,8.6,"  $35,000 to $49,999",114,+/- 52,4.8,  Nonrelatives,273,+/- 149,3.1,Universe: Housing units,,,
D3. RACE,,,,"  $50,000 to $74,999",184,+/- 74,7.8,  Unmarried partner,94,+/- 51,1.1,Total housing units,3033,+/- 171,
Universe: Total population,,,,"  $75,000 to $99,999",164,+/- 65,6.9,  Unmarried-partner HHs per 1000,32,+/- 20,,  Built 2010 or later,132,+/- 59,4.4
Total population,8754,+/- 581,,"  $100,000 to $149,999",515,+/- 137,21.8,S4. MARITAL STATUS,,,,  Built 2000 to 2009,767,+/- 149,25.3
  One race,8392,+/- 621,95.9,"  $150,000 to $199,999",199,+/- 74,8.4,Universe: Population 15 years and over,,,,  Built 1990 to 1999,929,+/- 137,30.6
    White alone,7196,+/- 550,82.2,"  $200,000 or more",1064,+/- 147,45,Persons 15 years and over,6513,+/- 429,,  Built 1980 to 1989,670,+/- 110,22.1
    Black or African American,17,+/- 27,0.2,Median family income,160938,+/- 34031,,  Never married,1271,+/- 238,19.5,  Built 1970 to 1979,294,+/- 95,9.7
    American Indian and Alaska Native,8,+/- 13,0.1,Mean family income,245923,+/- 31611,,"  Now married, except separated",4294,+/- 268,65.9,  Built 1960 to 1969,95,+/- 77,3.1
    Asian,1064,+/- 280,12.2,E3. OTHER INCOME MEASURES,,,,  Separated,51,+/- 37,0.8,  Built 1950 to 1959,75,+/- 57,2.5
    Native Hawaiian and Other Pacific Islander,9,+/- 15,0.1,Universe: Various,,,,  Widowed,231,+/- 87,3.5,  Built 1940 to 1949,43,+/- 43,1.4
    Some other race,98,+/- 61,1.1,Per-capita income,71845,+/- 7998,,"  Divorced, and not currently married",666,+/- 163,10.2,  Built 1939 or earlier,28,+/- 27,0.9
  Two or more races,362,+/- 140,4.1,Nonfamily households,554,+/- 140,19,S5. FERTILITY,,,,H4. YEAR HOUSEHOLDER MOVED INTO UNIT,,,
  White (alone or in combination),7484,+/- 539,85.5,  Median nonfamily income,36520,+/- 10292,,Universe: Women 15 to 50 years old who gave birth in the past 12 months,,,,Universe: Occupied housing units,,,
  Black (alone or in combination),90,+/- 74,1,  Mean nonfamily income,71894,+/- 20970,,Women 15 to 50 years old,1935,+/- 199,,Occupied housing units,2920,+/- 173,
